word,source
عايزة,show
احط,add
عنوان,address
الفاتورة,invoice
عايزة,show
اغير,change
عنوان,address
البيت,address
اغير,change
عنواني,address
منيو,Menu
شوف,show
البيتزا,ItemName
تابعلي,show
الاوردر,order
احذف,delete
العنوان,address
احدد,add
اللغة,Language
الاسبانية,Language
احذف,delete
عنواني,address
غير,change
رقم,phone_number
الجوال,phone_number
اعدل,edit
عنواني,address
احدث,update_data
البيانات,update_data
وريني,show
المنيو,Menu
اشوف,show
اوردراتي,order
قبل,previous
تعرضلي,show
قائمة,Menu
الطعام,Menu
عطيني,show
الكارت,card
3,item_number
مع,add
سلطة,ItemName
تشيكن,ItemName
سيزر,ItemName
رقم,phone_number
5,item_number
الفاتورة,invoice
الحجم,itemSize
الكبير,itemSize
واحد,item_number
كفته,Exclude
كبير,itemSize
بدون,Exclude
طحينه,ingredients
اعرضلي,show
الطلبات,order
الغاء,cancel
العنوان,address
ايه,late
اغير,change
اللغة,Language
الغي,cancel
عنواني,address
اوردر,order
بيتزا,ItemName
سوبر,ItemName
سوبريم,ItemName
ستافد,ItemName
كراست,ItemName
غير,change
بصل,Exclude
اشوف,show
حسابى,invoice
كام,invoice
دلوقتى,late
غير,change
رقم,phone_number
الجوال,phone_number
الاوردر,order
مجاش,late
لحد,late
دلوقتي,late
تبديل,edit
لغة,Language
احذف,delete
العنوان,address
تضيفلي,add
الهابي,ItemName
ميل,ItemName
الله,Gbu
يسلم,Gbu
عايزة,show
اشوف,show
طلباتي,order
السابقة,previous
منيو,Menu
الاطباق,Menu
سبكترا,location
عايزة,show
قائمة,Menu
تغيير,change
البيانات,update_data
اتنين,item_number
جلابينو,ItemName
ساندوتش,ItemName
كبير,itemSize
عايزة,show
اغير,change
لغة,Language
الانجليزية,Language
الغي,cancel
عنواني,address
فرجيكن,show
العنوان,address
عايزة,show
اعرف,show
الاوردر,order
فاضله,late
اد,late
ايه,late
تغيرلي,change
رقم,phone_number
الموبايل,phone_number
عايزة,show
امسح,delete
عنوان,address
البيت,address
امسح,delete
العنوان,address
اضيف,add
عنوان,address
ايه,late
الاوردر,order
موصلش,late
لحد,late
دلوقتى,late
اطلبها,Menu
صغيرة,itemSize
غير,change
اللغة,Language
اعرف,show
مع,add
بلو,ItemName
غير,change
اشوف,show
الاوردر,order
الطلبات,order
تغير,change
رقم,phone_number
موبايلي,phone_number
01552687474,phone_number
عايزة,show
الاوردرات,order
القديمة,previous
غير,change
لغة,Language
قديش,show
وقت,late
اشوف,show
تفرجيني,show
القائمة,Menu
هضيف,order
الاوردرات,order
طلبتها,order
قبل,previous
عايزة,show
3,item_number
بيتزا,ItemName
عايزة,show
وريني,show
الاوردر,order
شيل,edit
العنوان,address
هاخد,show
2,item_number
كوردن,ItemName
بلو,ItemName
الاوردر,order
الاوردر,order
لحد,late
كبيرة,itemSize
تغيرلي,change
اللغة,Language
تطلعنى,show
الاوردر,order
رقم,phone_number
8896,number
ماوصل,late
للحين,late
تفرجيني,show
قائمة,Menu
الطعام,Menu
تبعتلي,show
قائمة,Menu
السندوتشات,ItemName
بطا,late
الاوردر,order
القاء,show
نظره,show
الاشياء,order
طلبتها,order
اروح,show
القائمة,Menu
حدثلى,update_data
رقم,phone_number
هاتفى,phone_number
للرقم,phone_number
015248575,phone_number
حذف,delete
للرقم,phone_number
45454444,number
هضيف,order
رقم,phone_number
عايزة,show
اعرف,show
اسجل,update_data
بياناتي,update_data
القائمة,Menu
السابقة,previous
اغير,change
عنواني,address
الفاتورة,invoice
طلبتها,order
اللغة,Language
الغي,cancel
اوردر,order
عايزة,show
3,item_number
تبعتلي,show
عايزة,show
اغير,change
لغة,Language
المنيو,Menu
عايزة,show
اشوف,show
الطلبات,order
السابقة,previous
مع,add
تعرضلي,show
اضيف,add
رقم,phone_number
قديش,show
وقت,late
مع,add
اغير,change
قائمة,Menu
الطعام,Menu
تغيير,change
عنوان,address
البيت,address
اعرف,show
اسجل,update_data
عنوان,address
البيت,address
الطلبات,order
طلبتها,order
القائمة,Menu
الفاتورة,invoice
عنواني,address
تفرجيني,show
قائمة,Menu
الطلبات,order
السابقة,previous
مع,add
رقم,phone_number
للرقم,phone_number
صغيرة,itemSize
شوف,show
الطلبات,order
السابقة,previous
كام,invoice
شوف,show
ايه,late
القائمة,Menu
ساندوتش,ItemName
ساندوتش,ItemName
كبير,itemSize
2,item_number
بيتزا,ItemName
كبيرة,itemSize
بدون,Exclude
اشوف,show
الاوردر,order
العنوان,address
ساندوتش,ItemName
العنوان,address
تغيير,change
البيانات,update_data
اعرف,show
الاوردر,order
ايه,late
الحجم,itemSize
عنواني,address
3,item_number
ايه,late
عطيني,show
قائمة,Menu
الاوردر,order
اشوف,show
منيو,Menu
عايزة,show
اشوف,show
الطلبات,order
اللغة,Language
تفرجيني,show
القائمة,Menu
5,item_number
كبير,itemSize
بدون,Exclude
شوف,show
المنيو,Menu
اضيف,add
رقم,phone_number
عايزة,show
اغير,change
عطيني,show
قائمة,Menu
الطلبات,order
طلبتها,order
الغي,cancel
عنواني,address
امسح,delete
العنوان,address
تشيكن,ItemName
كبير,itemSize
سلطة,ItemName
كبير,itemSize
بصل,Exclude
الانجليزية,Language
احذف,delete
العنوان,address
الاوردر,order
الاوردر,order
عايزة,show
اعدل,edit
عنوان,address
مع,add
احذف,delete
اعرف,show
اسجل,update_data
بياناتي,update_data
منيو,Menu
الفاتورة,invoice
ايه,late
شوف,show
الطلبات,order
ايه,late
العنوان,address
اللغة,Language
الغي,cancel
تفرجيني,show
المنيو,Menu
عايزة,show
الاوردر,order
دلوقتي,late
اغير,change
عنوان,address
اغير,change
العنوان,address
اغير,change
ايه,late
3,item_number
الهابي,ItemName
ميل,ItemName
شوف,show
منيو,Menu
الطلبات,order
رقم,phone_number
الموبايل,phone_number
اشوف,show
منيو,Menu
الغي,cancel
شوف,show
الكارت,card
3,item_number
كوردن,ItemName
بلو,ItemName
تغيرلي,change
اللغة,Language
اغير,change
رقم,phone_number
عايزة,show
اضيف,add
عنوان,address
احدد,add
عنوان,address
البيت,address
غير,change
رقم,phone_number
الموبايل,phone_number
الاوردر,order
دلوقتي,late
الاوردرات,order
القديمة,previous
منيو,Menu
احذف,delete
رقم,phone_number
الموبايل,phone_number
القائمة,Menu
اغير,change
رقم,phone_number
العنوان,address
اضيف,add
3,item_number
بيتزا,ItemName
الحجم,itemSize
احذف,delete
العنوان,address
اشوف,show
منيو,Menu
بيتزا,ItemName
الهابي,ItemName
ميل,ItemName
طلباتي,order
الغي,cancel
اروح,show
القائمة,Menu
الفاتورة,invoice
قائمة,Menu
تغيير,change
البيانات,update_data
تغيير,change
الجوال,phone_number
المنيو,Menu
الاوردر,order
3,item_number
بيتزا,ItemName
مع,add
كبير,itemSize
2,item_number
ساندوتش,ItemName
كبير,itemSize
مع,add
3,item_number
تبعتلي,show
منيو,Menu
الاوردر,order
العنوان,address
اغير,change
لغة,Language
الانجليزية,Language
بصل,Exclude
الاوردر,order
عايزة,show
عنوان,address
الاوردر,order
لحد,late
عايزة,show
المنيو,Menu
عايزة,show
الحجم,itemSize
الكبير,itemSize
اشوف,show
منيو,Menu
غير,change
اللغة,Language
الطلبات,order
شوف,show
منيو,Menu
وقت,late
ايه,late
قبل,previous
رقم,phone_number
هاتفى,phone_number
للرقم,phone_number
تبعتلي,show
المنيو,Menu
قبل,previous
الغي,cancel
الانجليزية,Language
اضيف,add
عنواني,address
منيو,Menu
الاوردر,order
رقم,phone_number
الموبايل,phone_number
رقم,phone_number
الاوردرات,order
طلبتها,order
قبل,previous
الطلبات,order
اعرف,show
الاوردر,order
رقم,phone_number
موصلش,late
الاوردرات,order
السابقة,previous
شوف,show
منيو,Menu
اشوف,show
الاوردر,order
الفاتورة,invoice
كام,invoice
عايزة,show
عنوان,address
البيت,address
القائمة,Menu
كبيرة,itemSize
عايزة,show
اشوف,show
الطلبات,order
العنوان,address
وريني,show
الاوردرات,order
طلبتها,order
قبل,previous
3,item_number
بيتزا,ItemName
مع,add
لحد,late
رقم,phone_number
شوف,show
منيو,Menu
الاوردر,order
2,item_number
ساندوتش,ItemName
الطلبات,order
عايزة,show
اشوف,show
الطلبات,order
شوف,show
قائمة,Menu
السندوتشات,ItemName
غير,change
بصل,Exclude
3,item_number
تغيير,change
البيانات,update_data
اشوف,show
منيو,Menu
العنوان,address
اشوف,show
الاوردر,order
شوف,show
الاوردرات,order
السابقة,previous
اضيف,add
عنواني,address
اعدل,edit
العنوان,address
وريني,show
الاوردرات,order
السابقة,previous
تفرجيني,show
القائمة,Menu
اشوف,show
الاشياء,order
طلبتها,order
اعرف,show
عايزة,show
3,item_number
بيتزا,ItemName
غير,change
امسح,delete
عايزة,show
اغير,change
لغة,Language
عايزة,show
شيل,edit
العنوان,address
الاوردر,order
رقم,phone_number
موصلش,late
ايه,late
الاوردر,order
مع,add
عنوان,address
البيت,address
شوف,show
الطلبات,order
السابقة,previous
قبل,previous
مع,add
ايه,late
الاوردر,order
كبير,itemSize
غير,change
العنوان,address
عنواني,address
2,item_number
عنوان,address
البيت,address
اوردر,order
تفرجيني,show
الطلبات,order
الاوردر,order
عطيني,show
2,item_number
ساندوتش,ItemName
مع,add
العنوان,address
مع,add
اغير,change
عنوان,address
البيت,address
2,item_number
القديمة,previous
ايه,late
تغيير,change
البيانات,update_data
ساندوتش,ItemName
الاوردر,order
الاوردر,order
ساندوتش,ItemName
مع,add
وقت,late
الاوردر,order
اشوف,show
قبل,previous
اشوف,show
منيو,Menu
البيتزا,ItemName
الاوردر,order
موصلش,late
بيتزا,ItemName
الاوردر,order
تفرجيني,show
الكارت,card
شوف,show
اغير,change
مع,add
الطلبات,order
اضيف,add
عنوان,address
3,item_number
الحجم,itemSize
الكبير,itemSize
اشوف,show
الطلبات,order
مع,add
نظره,show
رقم,phone_number
عايزة,show
اعرف,show
كام,invoice
تعرضلي,show
منيو,Menu
اسجل,update_data
عنوان,address
عنواني,address
مع,add
2,item_number
الغي,cancel
العنوان,address
غير,change
كبير,itemSize
عايزة,show
عايزة,show
واحد,item_number
تعرضلي,show
الاوردر,order
اضيف,add
رقم,phone_number
مع,add
عايزة,show
اوردر,order
3,item_number
تبعتلي,show
منيو,Menu
وقت,late
ايه,late
الاوردر,order
اد,late
ايه,late
اعرضلي,show
المنيو,Menu
اعرضلي,show
قبل,previous
احدث,update_data
العنوان,address
الاوردر,order
العنوان,address
2,item_number
بيتزا,ItemName
كبير,itemSize
بصل,Exclude
قبل,previous
اضيف,add
عنوان,address
الاوردر,order
عايزة,show
اروح,show
القائمة,Menu
القائمة,Menu
الاوردر,order
اشوف,show
الطلبات,order
منيو,Menu
سلطة,ItemName
احذف,delete
عنوان,address
ميل,ItemName
تبعتلي,show
الاوردرات,order
القديمة,previous
عنواني,address
اضيف,add
رقم,phone_number
كبير,itemSize
صغيرة,itemSize
الاوردر,order
رقم,phone_number
مجاش,late
لحد,late
دلوقتى,late
رقم,phone_number
تفرجيني,show
طلبتها,order
عنوان,address
البيت,address
2,item_number
العنوان,address
اشوف,show
الاوردر,order
ايه,late
تعرضلي,show
عطيني,show
الطلبات,order
اعدل,edit
رقم,phone_number
غير,change
اللغة,Language
الانجليزية,Language
تبعتلي,show
الاوردر,order
3,item_number
بيتزا,ItemName
كبير,itemSize
غير,change
رقم,phone_number
الموبايل,phone_number
اعرف,show
الاوردر,order
الحجم,itemSize
حدثلى,update_data
رقم,phone_number
للرقم,phone_number
العنوان,address
تغيرلي,change
اللغة,Language
مع,add
فاضله,late
ايه,late
الغي,cancel
رقم,phone_number
الجوال,phone_number
الاوردرات,order
اغير,change
لغة,Language
الكارت,card
الاوردر,order
للحين,late
الاوردر,order
اغير,change
العنوان,address
تغيير,change
البيانات,update_data
الاوردر,order
عنواني,address
الاوردر,order
غير,change
اللغة,Language
مع,add
شوف,show
الاطباق,Menu
الاوردر,order
3,item_number
ساندوتش,ItemName
شيل,edit
اضيف,add
عنوان,address
اشوف,show
المنيو,Menu
الانجليزية,Language
اغير,change
العنوان,address
عنوان,address
البيت,address
تبعتلي,show
قائمة,Menu
رقم,phone_number
هاتفى,phone_number
الاوردر,order
2,item_number
بيتزا,ItemName
مع,add
اشوف,show
الاوردر,order
بصل,Exclude
الطلبات,order
السابقة,previous
العنوان,address
الاوردر,order
احذف,delete
غير,change
رقم,phone_number
الجوال,phone_number
الطلبات,order
لحد,late
عنوان,address
البيت,address
اغير,change
اضيف,add
عنوان,address
البيت,address
ايه,late
البيانات,update_data
عنوان,address
منيو,Menu
بيتزا,ItemName
عايزة,show
اشوف,show
منيو,Menu
تضيفلي,add
تشيكن,ItemName
تفرجيني,show
قائمة,Menu
تغيير,change
البيانات,update_data
رقم,phone_number
الموبايل,phone_number
3,item_number
الاوردر,order
اعرضلي,show
الطلبات,order
طلبتها,order
اغير,change
لغة,Language
الكارت,card
الاوردر,order
2,item_number
بيتزا,ItemName
عنواني,address
اعرضلي,show
اغير,change
اللغة,Language
اللغة,Language
اشوف,show
الطلبات,order
السابقة,previous
منيو,Menu
تعرضلي,show
اد,late
ايه,late
احدث,update_data
العنوان,address
الموبايل,phone_number
3,item_number
وريني,show
الاوردرات,order
طلبتها,order
قبل,previous
عايزة,show
اعرف,show
اوردر,order
شوف,show
الطلبات,order
اشوف,show
الحجم,itemSize
الموبايل,phone_number
الاوردر,order
ايه,late
تضيفلي,add
رقم,phone_number
موبايلي,phone_number
عنوان,address
تبعتلي,show
الاوردر,order
شوف,show
منيو,Menu
فرجيكن,show
عنواني,address
عايزة,show
الاوردر,order
تضيفلي,add
3,item_number
الفاتورة,invoice
عايزة,show
عنوان,address
البيت,address
تغيير,change
رقم,phone_number
اشوف,show
رقم,phone_number
احذف,delete
عنواني,address
عايزة,show
تبعتلي,show
منيو,Menu
عايزة,show
اضيف,add
اشوف,show
الاوردر,order
الاوردرات,order
السابقة,previous
امسح,delete
عنواني,address
عنواني,address
مع,add
اعرضلي,show
اوردر,order
تابعلي,show
الاوردر,order
عايزة,show
اسجل,update_data
عنوان,address
اشوف,show
بصل,Exclude
مع,add
منيو,Menu
عايزة,show
عنواني,address
اعرضلي,show
الكارت,card
عايزة,show
غير,change
الاوردر,order
ايه,late
3,item_number
اعرضلي,show
الطلبات,order
قائمة,Menu
البيانات,update_data
اشوف,show
المنيو,Menu
تغيرلي,change
رقم,phone_number
موبايلي,phone_number
رقم,phone_number
2,item_number
بيتزا,ItemName
وريني,show
عنواني,address
ايه,late
الاوردر,order
عايزة,show
اشوف,show
الاوردرات,order
العنوان,address
ايه,late
رقم,phone_number
اعدل,edit
اعرضلي,show
منيو,Menu
اضيف,add
عنوان,address
البيت,address
منيو,Menu
شوف,show
قائمة,Menu
الطعام,Menu
تطلعنى,show
اوردر,order
عنوان,address
اضيف,add
رقم,phone_number
تغيرلي,change
تفرجيني,show
الاوردر,order
تغير,change
عنوان,address
تفرجيني,show
القائمة,Menu
اضيف,add
عنوان,address
الطعام,Menu
ايه,late
احذف,delete
عنواني,address
عايزة,show
اعدل,edit
رقم,phone_number
تفرجيني,show
الكارت,card
اسجل,update_data
عنوان,address
عايزة,show
طلبتها,order
عنوان,address
الكارت,card
عايزة,show
اضيف,add
الاوردر,order
قبل,previous
ميل,ItemName
الطلبات,order
لحد,late
دلوقتي,late
اضيف,add
رقم,phone_number
منيو,Menu
مع,add
الطعام,Menu
اسجل,update_data
عنواني,address
ساندوتش,ItemName
تعرضلي,show
منيو,Menu
سبكترا,location
منيو,Menu
تغيرلي,change
تعرضلي,show
منيو,Menu
2,item_number
سوبر,ItemName
الحجم,itemSize
عايزة,show
اغير,change
رقم,phone_number
الاوردر,order
عايزة,show
الفاتورة,invoice
مع,add
اضيف,add
رقم,phone_number
المنيو,Menu
عطيني,show
اغير,change
رقم,phone_number
الاوردر,order
المنيو,Menu
عايزة,show
2,item_number
بيتزا,ItemName
العنوان,address
عايزة,show
اشوف,show
الاوردرات,order
اسجل,update_data
عنوان,address
البيت,address
احذف,delete
العنوان,address
الغي,cancel
عايزة,show
دلوقتي,late
تغيير,change
البيانات,update_data
احط,add
عنوان,address
غير,change
رقم,phone_number
الجوال,phone_number
عايزة,show
اعرف,show
رقم,phone_number
موبايلي,phone_number
اغير,change
بياناتي,update_data
غير,change
رقم,phone_number
الجوال,phone_number
امسح,delete
العنوان,address
اشوف,show
الاوردرات,order
القديمة,previous
رقم,phone_number
للرقم,phone_number
2,item_number
ميل,ItemName
الطلبات,order
العنوان,address
غير,change
اغير,change
لغة,Language
تشيكن,ItemName
منيو,Menu
اللغة,Language
الانجليزية,Language
عايزة,show
احط,add
العنوان,address
شوف,show
منيو,Menu
بيتزا,ItemName
كبيرة,itemSize
كبير,itemSize
بيتزا,ItemName
ايه,late
المنيو,Menu
كبير,itemSize
الغي,cancel
اعرضلي,show
شوف,show
الطلبات,order
طلبتها,order
القائمة,Menu
الاوردر,order
اسجل,update_data
عنوان,address
مع,add
الاوردر,order
تضيفلي,add
رقم,phone_number
موبايلي,phone_number
قائمة,Menu
البيتزا,ItemName
اعرضلي,show
الطلبات,order
الاوردر,order
منيو,Menu
مع,add
اشوف,show
الكارت,card
اعرف,show
الاوردر,order
2,item_number
بيتزا,ItemName
صغيرة,itemSize
مع,add
عايزة,show
بيتزا,ItemName
كبير,itemSize
عايزة,show
اضيف,add
رقم,phone_number
المنيو,Menu
عايزة,show
احط,add
عنواني,address
الطلبات,order
امسح,delete
الفاتورة,invoice
اعرف,show
الاوردر,order
فاضله,late
ايه,late
مع,add
للرقم,phone_number
عايزة,show
سلطة,ItemName
اشوف,show
المنيو,Menu
تابعلي,show
الطلبات,order
عايزة,show
كام,invoice
عايزة,show
اغير,change
العنوان,address
2,item_number
تشيكن,ItemName
قائمة,Menu
تغيير,change
البيانات,update_data
اضيف,add
قائمة,Menu
الطلبات,order
السابقة,previous
شيل,edit
العنوان,address
رقم,phone_number
هاتفى,phone_number
للرقم,phone_number
عايزة,show
اعرضلي,show
رقم,phone_number
هاتفى,phone_number
اعرف,show
اد,late
ايه,late
المنيو,Menu
الغي,cancel
عنوان,address
اضيف,add
طلبتها,order
منيو,Menu
احذف,delete
العنوان,address
عايزة,show
اسجل,update_data
عنوان,address
عايزة,show
عايزة,show
الفاتورة,invoice
الغي,cancel
سلطة,ItemName
منيو,Menu
عايزة,show
احدد,add
2,item_number
تفرجيني,show
منيو,Menu
رقم,phone_number
موبايلي,phone_number
عايزة,show
عنوان,address
اغير,change
بيتزا,ItemName
عايزة,show
العنوان,address
احط,add
رقم,phone_number
قائمة,Menu
الطعام,Menu
وريني,show
قائمة,Menu
البيتزا,ItemName
امسح,delete
العنوان,address
تغيير,change
البيانات,update_data
شيل,edit
القائمة,Menu
العنوان,address
شوف,show
الكارت,card
المنيو,Menu
تعرضلي,show
الطلبات,order
طلبتها,order
قبل,previous
عنوان,address
منيو,Menu
القائمة,Menu
اوردر,order
3,item_number
مع,add
سلطة,ItemName
سيزر,ItemName
اعرف,show
عايزة,show
تفرجيني,show
المنيو,Menu
طلبتها,order
2,item_number
مع,add
كبير,itemSize
ميل,ItemName
2,item_number
اشوف,show
الطلبات,order
اغير,change
البيت,address
الفاتورة,invoice
اضيف,add
عنوان,address
منيو,Menu
تغيرلي,change
عنوان,address
عنوان,address
البيت,address
مع,add
الاوردر,order
امسح,delete
عنواني,address
ميل,ItemName
الطعام,Menu
الاوردر,order
تضيفلي,add
تشيكن,ItemName
اروح,show
حدثلى,update_data
رقم,phone_number
للرقم,phone_number
القديمة,previous
3,item_number
تشيكن,ItemName
ميل,ItemName
تبعتلي,show
قائمة,Menu
تغيير,change
البيانات,update_data
عايزة,show
اوردر,order
3,item_number
شوف,show
ايه,late
عنوان,address
عايزة,show
مع,add
العنوان,address
عايزة,show
الاوردر,order
السندوتشات,ItemName
اغير,change
رقم,phone_number
كبيرة,itemSize
منيو,Menu
قديش,show
وقت,late
الاوردر,order
تغيير,change
دلوقتي,late
اشوف,show
منيو,Menu
عايزة,show
اغير,change
رقم,phone_number
للرقم,phone_number
تطلعنى,show
رقم,phone_number
هاتفى,phone_number
الجوال,phone_number
للرقم,phone_number
2,item_number
بيتزا,ItemName
الاوردر,order
الغي,cancel
العنوان,address
مع,add
الغي,cancel
تشيكن,ItemName
ميل,ItemName
دلوقتي,late
تفرجيني,show
الكارت,card
اضيف,add
رقم,phone_number
تفرجيني,show
منيو,Menu
غير,change
رقم,phone_number
الجوال,phone_number
اعرف,show
الاوردر,order
لحد,late
اغير,change
اللغة,Language
اسجل,update_data
عنوان,address
الاوردر,order
اشوف,show
منيو,Menu
دلوقتى,late
عايزة,show
اعدل,edit
3,item_number
عنواني,address
2,item_number
بيتزا,ItemName
اشوف,show
المنيو,Menu
للرقم,phone_number
عنوان,address
تغير,change
العنوان,address
اسجل,update_data
عنوان,address
الاوردر,order
غير,change
رقم,phone_number
الاوردر,order
قائمة,Menu
الطعام,Menu
الاوردر,order
مع,add
تغيرلي,change
عنوان,address
البيت,address
عنوان,address
الغي,cancel
عنواني,address
تبعتلي,show
المنيو,Menu
اشوف,show
منيو,Menu
كبير,itemSize
عايزة,show
اضيف,add
عنوان,address
2,item_number
الاوردر,order
اغير,change
رقم,phone_number
للرقم,phone_number
اشوف,show
عايزة,show
الاوردرات,order
السابقة,previous
تفرجيني,show
القائمة,Menu
اشوف,show
منيو,Menu
3,item_number
اسجل,update_data
العنوان,address
اغير,change
رقم,phone_number
اشوف,show
الاوردرات,order
القديمة,previous
شوف,show
تفرجيني,show
غير,change
لغة,Language
عايزة,show
اضيف,add
العنوان,address
تفرجيني,show
المنيو,Menu
غير,change
رقم,phone_number
احط,add
العنوان,address
الطلبات,order
عايزة,show
احدد,add
عنواني,address
عطيني,show
المنيو,Menu
امسح,delete
الغي,cancel
ايه,late
عايزة,show
اضيف,add
العنوان,address
مع,add
مع,add
اللغة,Language
عنوان,address
العنوان,address
مع,add
اضيف,add
اشوف,show
الطلبات,order
السابقة,previous
الطلبات,order
ايه,late
اضيف,add
3,item_number
تشيكن,ItemName
مع,add
الاوردر,order
2,item_number
كبير,itemSize
تفرجيني,show
منيو,Menu
منيو,Menu
رقم,phone_number
البيت,address
تفرجيني,show
قائمة,Menu
الطلبات,order
السابقة,previous
مع,add
بيتزا,ItemName
الاوردر,order
اشوف,show
الاوردر,order
اضيف,add
3,item_number
ساندوتش,ItemName
شوف,show
المنيو,Menu
القائمة,Menu
الغي,cancel
العنوان,address
الاوردر,order
الاوردر,order
كام,invoice
شوف,show
الكارت,card
رقم,phone_number
الاوردر,order
اعرضلي,show
قائمة,Menu
غير,change
العنوان,address
غير,change
عنوان,address
الغي,cancel
عنواني,address
تغيير,change
رقم,phone_number
الجوال,phone_number
للرقم,phone_number
اغير,change
تغير,change
رقم,phone_number
عنوان,address
تابعلي,show
الاوردر,order
اللغة,Language
عايزة,show
اعرف,show
الاوردر,order
وقت,late
اد,late
ايه,late
عنوان,address
تابعلي,show
الاوردر,order
اشوف,show
منيو,Menu
تغيرلي,change
عنوان,address
البيت,address
اعرضلي,show
منيو,Menu
البيتزا,ItemName
بيتزا,ItemName
الاوردر,order
موصلش,late
عنوان,address
عايزة,show
اسجل,update_data
عنوان,address
مع,add
المنيو,Menu
اعرف,show
الطلبات,order
اسجل,update_data
العنوان,address
الاوردر,order
اغير,change
رقم,phone_number
للرقم,phone_number
ايه,late
اشوف,show
الكارت,card
غير,change
رقم,phone_number
الموبايل,phone_number
اشوف,show
الاوردر,order
شوف,show
الاوردرات,order
تعرضلي,show
الطلبات,order
تابعلي,show
الطلبات,order
اعرضلي,show
رقم,phone_number
ماوصل,late
شوف,show
الاوردر,order
اشوف,show
اوردراتي,order
منيو,Menu
عايزة,show
اشوف,show
المنيو,Menu
مع,add
تغيير,change
البيانات,update_data
البيانات,update_data
رقم,phone_number
الاوردر,order
الفاتورة,invoice
الفاتورة,invoice
مع,add
اشوف,show
منيو,Menu
الاوردر,order
منيو,Menu
